DATA,,,,,,
key,data,,,,,
token_name,Bonfida,,,,,
token_symbol,FIDA,,,,,
start_date,31/12/2020,,,,,
start_tokens,1000000000,,,,,
emission_schedule,1D,,,,,
emission_type,linear_unlock,,,,,
emission_incentive,,,,,,
DISTRIBUTION,,,,,,
entity,Seed,Liquidity,IEO,Serum Ecosystem Incentives,Team,Bonfida Foundation
type,percentage,percentage,percentage,percentage,percentage,percentage
group,investors,ecosystem,public,ecosystem,team_advisors,foundation
emission,unlock,unlock,unlock,unlock,unlock,unlock
t436,0.5830291971,2,0.6,2.518248175,0.647810219,4.431021898
t437,0.5912408759,2,0.6,2.525547445,0.6569343066,4.493430657
t438,0.5994525547,2,0.6,2.532846715,0.6660583942,4.555839416
t439,0.6076642336,2,0.6,2.540145985,0.6751824818,4.618248175
t440,0.6158759124,2,0.6,2.547445255,0.6843065693,4.680656934
t441,0.6240875912,2,0.6,2.554744526,0.6934306569,4.743065693
t442,0.6322992701,2,0.6,2.562043796,0.7025547445,4.805474453
t443,0.6405109489,2,0.6,2.569343066,0.7116788321,4.867883212
t444,0.6487226277,2,0.6,2.576642336,0.7208029197,4.930291971
t445,0.6569343066,2,0.6,2.583941606,0.7299270073,4.99270073
t446,0.6651459854,2,0.6,2.591240876,0.7390510949,5.055109489
t447,0.6733576642,2,0.6,2.598540146,0.7481751825,5.117518248
t448,0.6815693431,2,0.6,2.605839416,0.7572992701,5.179927007
t449,0.6897810219,2,0.6,2.613138686,0.7664233577,5.242335766
t450,0.6979927007,2,0.6,2.620437956,0.7755474453,5.304744526
t451,0.7062043796,2,0.6,2.627737226,0.7846715328,5.367153285
t452,0.7144160584,2,0.6,2.635036496,0.7937956204,5.429562044
t453,0.7226277372,2,0.6,2.642335766,0.802919708,5.491970803
t454,0.7308394161,2,0.6,2.649635036,0.8120437956,5.554379562
t455,0.7390510949,2,0.6,2.656934307,0.8211678832,5.616788321
t456,0.7472627737,2,0.6,2.664233577,0.8302919708,5.67919708
t457,0.7554744526,2,0.6,2.671532847,0.8394160584,5.741605839
t458,0.7636861314,2,0.6,2.678832117,0.848540146,5.804014599
t459,0.7718978102,2,0.6,2.686131387,0.8576642336,5.866423358
t460,0.7801094891,2,0.6,2.693430657,0.8667883212,5.928832117
t461,0.7883211679,2,0.6,2.700729927,0.8759124088,5.991240876
t462,0.7965328467,2,0.6,2.708029197,0.8850364964,6.053649635
t463,0.8047445255,2,0.6,2.715328467,0.8941605839,6.116058394
